"","variable","ELRP"
"1","1983",5.72564939284674
"2","1988",5.45373964578027
"3","1993",6.093844764022
"4","1998",6.28053863574408
"5","2003",6.91433955722042
"6","2008",7.85434721652772
"7","2013",8.63054252170986
"8","2018",9.46490262129915
"9","2023",10.0906412590887
"10","2028",10.683242076807
"11","2033",11.2877580707566
"12","2038",11.8338976512826
"13","2043",12.3586627339015
"14","2048",12.9133175360557
"15","2053",13.4628769307193
"16","2058",13.9730021866831
"17","2063",14.4262988719631
"18","2068",14.8376177717874
"19","2073",15.2167499149478
"20","2078",15.5808996105366
"21","2083",15.9285298549517
"22","2088",16.2648624545049
"23","2093",16.5916834959359
"24","2098",16.9292158646852
